student_id,name,email,college_id,department_id,skills
1,Student 1,student1@college.edu,1,Finance,"Power BI, Marketing, Python"
2,Student 2,student2@college.edu,2,HR,"Auditing, Power BI, Taxation"
3,Student 3,student3@college.edu,1,Business Analytics,"HR, Accounting, Marketing"
4,Student 4,student4@college.edu,2,HR,"Accounting, HR, Finance"
5,Student 5,student5@college.edu,1,Business Analytics,"Data Analysis, Marketing, Auditing"
6,Student 6,student6@college.edu,1,Marketing,"Power BI, Taxation, Python"
7,Student 7,student7@college.edu,2,Accounting,"Marketing, Auditing, Taxation"
8,Student 8,student8@college.edu,1,Marketing,"HR, Taxation, Python"
9,Student 9,student9@college.edu,2,Business Analytics,"Accounting, Auditing, HR"
10,Student 10,student10@college.edu,1,Marketing,"Taxation, Python, HR"
11,Student 11,student11@college.edu,2,Finance,"Accounting, HR, Python"
12,Student 12,student12@college.edu,2,HR,"Power BI, Marketing, Data Analysis"
13,Student 13,student13@college.edu,2,Business Analytics,"Taxation, HR, Power BI"
14,Student 14,student14@college.edu,1,Accounting,"Taxation, Marketing, Data Analysis"
15,Student 15,student15@college.edu,1,HR,"Finance, HR, Marketing"
16,Student 16,student16@college.edu,1,Finance,"Accounting, Taxation, Power BI"
17,Student 17,student17@college.edu,2,Marketing,"Data Analysis, Excel, Auditing"
18,Student 18,student18@college.edu,1,Business Analytics,"Auditing, Data Analysis, HR"
19,Student 19,student19@college.edu,2,Finance,"Marketing, Excel, Python"
20,Student 20,student20@college.edu,1,HR,"Taxation, Data Analysis, Power BI"
21,Student 21,student21@college.edu,1,HR,"Marketing, Data Analysis, Auditing"
22,Student 22,student22@college.edu,2,HR,"HR, Excel, Power BI"
23,Student 23,student23@college.edu,1,Accounting,"Data Analysis, Marketing, Taxation"
24,Student 24,student24@college.edu,2,Finance,"Taxation, Marketing, HR"
25,Student 25,student25@college.edu,1,HR,"Finance, Data Analysis, Marketing"
26,Student 26,student26@college.edu,2,Finance,"Python, Excel, Data Analysis"
27,Student 27,student27@college.edu,2,Finance,"Power BI, Excel, Accounting"
